Unnamed: 0,mz(Da),RT(s),id,maxInt,maxInt_frac
1078,185.1116485595703,444.4003651390075,5526,88791.21435546875,0.2278989202015985
1079,185.1116638183594,431.6443403015136,5412,54936.6162109375,0.2848017588451321
1080,185.1116790771484,199.0827813396454,2661,46931.4208984375,0.4661336068929533
1081,185.1117095947266,482.3185112724304,5839,47682.42364501953,0.2292375618411798
1082,185.1117248535156,420.7416591892242,5302,104946.5778808594,0.2150274266564795
1083,185.1117401123047,426.2083273181915,5358,137148.24609375,0.1754305780717267
1084,185.1117553710938,414.9139461765289,5240,133471.5847167969,0.257115997838162
1085,185.1117858886719,453.1572172889709,5604,88842.63037109375,0.1738481832235102
1086,185.1118011474609,437.865171218872,5470,53197.7861328125,0.2216323543333543
1087,185.1118011474609,409.643791223526,5178,202246.7391967773,0.2423880434411035
1088,185.1118621826172,404.3656733283996,5115,382199.2045898438,0.2420222486772753
1089,185.1545562744141,294.8859591732025,3905,47576.39086914062,0.2929203233428608
1090,185.1546173095703,277.6435392150879,3690,69654.38452148438,0.3329776815642694
1091,185.1546173095703,283.2272053012848,3761,86431.92358398438,0.3758381025118048
1092,186.1133575439453,181.8487372646332,2425,288732.8505859375,0.1399971539841082
1093,186.1133728027344,171.1281271228791,2273,459212.2342529297,0.1747227751195048
1094,186.1133880615234,127.1566591510773,1650,90539.92309570312,0.2083036762488708
1095,186.1133880615234,176.4664101848602,2350,396114.6687011719,0.1724748162230779
